reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
133dd03a-865a-445b-b3d7-0681bc971276,Silvia Rahma,https://play-lh.googleusercontent.com/a-/ALV-UjUFKl8qx_EYvruiX5tFbwDlQs39UL2yV0DxhBwO9ROZCcPzauXt,"Aplikasi yang recommended, lengkap semua buku buku nya, sukses selalu",5,0,1.0.4,2023-01-24 15:31:11,,,1.0.4
fb7c6206-93a0-4848-8e22-e12b22f4d984,BAMBANG ALFATETA,https://play-lh.googleusercontent.com/a-/ALV-UjU19fX0gQv23sDbH45kH_VlgGdg6bYbnu0T1-18ngYMUdMFiui-ug,"Tiap hari mau dibuka tulisannya, email belum terverifikasi.",1,0,1.0.6,2023-03-17 06:28:20,,,1.0.6
3239ec1a-eeba-4180-844a-de0f4a4ad1b0,apri duani,https://play-lh.googleusercontent.com/a-/ALV-UjUIgCWjDJ3GvKwxfkzTspzaPfEY_bdYhPB92b99ZTxy6QzTj0xM,Lelet lemot padahal sumber makalah ku ada di salah satu buku yg terdapat di aplikasi inu😭😭😭😭,1,0,1.0.11,2023-10-31 10:15:28,,,1.0.11
857d7c08-ff20-4147-b370-8b213d4584d2,Sherina Bulan S.H,https://play-lh.googleusercontent.com/a-/ALV-UjVzcSM-w-zYKtyAUg0O2O76eU7tkl4Q-rlFUpsvqZCCNjGKbCIU,Gk rugi download apk bintang pusnas semua buku dari sd sampai SMA semua ada dan ada audio book sama video booknya juga. Keren deh👍🏻,5,0,,2023-01-11 16:45:21,,,
899823fc-700d-4777-a644-def72b0ebe38,Eka Budi,https://play-lh.googleusercontent.com/a/ACg8ocJ8JLYczma39Paj4Uym6XczgPUhOiQTLvQWARIZevXOIalYgw=mo,Aplikasi yang bermanfaat bagi siswa yang malas ke perpustakaan,5,0,1.0.5,2023-03-06 20:29:36,,,1.0.5
e68652b8-f69c-47a7-93f4-411d644b46b3,113 Zein Nurul Layali,https://play-lh.googleusercontent.com/a-/ALV-UjUBxBYvMAs9Tl4IF2meYknKT2WtLkyxiIGJt2qipUXVe-mNyqFk,Aplikasi ga jelas ering eror mana loading mulu TOLONG YA DITINGKATKAN LAGI!!!!,1,0,1.0.4,2023-01-22 20:10:51,,,1.0.4
7c98d16c-3cab-47f4-9744-dd663fa5fd7f,Sri Rahayuningsih,https://play-lh.googleusercontent.com/a-/ALV-UjXpwBOyqcRjgyQQzu4juydU-GRw3iRZ0qEUEz8v_Ne7CXxVWTnk,Aplikasi ini sangat baik untuk mendukung dan meningkatkan kualitas belajar peserta didik.,5,0,1.0.11,2023-10-02 22:35:41,,,1.0.11
de573075-1d2c-48bf-9220-71b67985f7aa,Shakila Claire Dinova,https://play-lh.googleusercontent.com/a-/ALV-UjUWMj-H_8fDgI4mfT0GMYL-hcvuZyjZJ_YiazIMzj4ArFc18gKI,Mohon diperbaiki loading pada saat membuka ebook nya,2,0,,2024-03-17 08:18:52,,,
7bb8a480-80e0-44f2-8583-b0511a84ca62,Stiky,https://play-lh.googleusercontent.com/a/ACg8ocLUaTk1sgrhooftcZcTP9cPSUjvtC7C0_9NPchDND9JKVk7Cg=mo,Sangat membantu sekali sampai dari buku SD sampai SMA ✨,5,0,1.0.4,2023-01-22 18:28:17,,,1.0.4
2144c9ac-c1ba-46dc-9251-cd366d14e129,Ibususi,https://play-lh.googleusercontent.com/a/ACg8ocJsVOIjD5KuJHwVX06SyZw_tNkOIEaveVb2AUgp55wm98P0EQ=mo,"Buku bukunya lengkap, bisa buat belajar anakku jg jadi ga usah beli buku fisik",5,0,1.0.4,2023-01-16 11:32:51,,,1.0.4
2c329d6a-a307-4fb3-af81-f3982eccb0be,Ferry Romy,https://play-lh.googleusercontent.com/a/ACg8ocKwr_sAJ9J6_pjQfTqy88JwmHPGJOdmlI1_VXp5uHDDcYoUdg=mo,"Apk ini menyediakan berbagai macam buku digital, mulai dari SD sampai perguruan tinggi, sehingga memudahkan orang dalam belajar di mana aja.",5,0,1.0.4,2023-01-13 10:46:12,,,1.0.4
b3140bee-c888-4e38-be53-384e51f7df16,Dini Ratna Rahayu,https://play-lh.googleusercontent.com/a-/ALV-UjW5KEPbjHf5u3kB08IenNKTz1GcyIyiC81en9DSq0bHH1BVYsc1,Meski banyak kendala di awal. Setelah direfresh akhirnya bisa.,4,0,1.0.4,2023-01-07 00:31:15,,,1.0.4
eac5400e-9d45-44b0-b5e6-2232264922e0,Juragan Sahroni,https://play-lh.googleusercontent.com/a-/ALV-UjW7X66tG5k7vy4QXIkwor28sxR_RK5WCoXDQLxCTVrVi7ldeVZQ,Banyak fasilitas yg tidak berfungsi,1,0,1.0.4,2023-01-04 21:53:28,,,1.0.4
1858bb45-e71e-4e7f-9907-cc335dec71d7,Risdayanti Nintias Manaraja,https://play-lh.googleusercontent.com/a-/ALV-UjWLhoPVIj6ynSARlYwqQMtMTlHJDExB7VxlTL6PqcUkoBKnHiYL,Mengapa tidak bisa mendaftar untuk bisa baca buku ? Selalu error,3,0,1.0.4,2023-01-21 21:08:19,,,1.0.4
6d71d486-7523-40fa-9860-0f1d6b8428cc,chi rizzal,https://play-lh.googleusercontent.com/a/ACg8ocIZmzRadmbtfGgIC3PO2VhLof8NnkPtpAuxqQbJ9pCoTRD_Vg=mo,sangat cocok bagi penulis baru karna memajukan literatur orang indonesia.,5,0,,2023-01-13 16:56:27,,,
cdbe5838-dceb-420f-8882-96bfb29763e5,Hariz Pokemon,https://play-lh.googleusercontent.com/a-/ALV-UjUZt61zrvALK19_lEZYsY2NvBn0Ao_N4nU4LPCMHLUOFyJB3j0,Aplikasinya tidak bisa masuk / login,3,1,1.0.5,2023-02-28 09:39:01,,,1.0.5
11561f31-537c-4c32-970f-09b7885d49ce,annisa syaefulloh,https://play-lh.googleusercontent.com/a-/ALV-UjVo9pndTivmg6prlOWHO7PluW1AjSV4Ct0NRd_6tzoXf40cC0fU,"aplikasi buat bacaan sekolah, adek aku download app ini di hpnya buat buku pelajaran di sekolah",5,0,1.0.4,2023-01-26 20:04:19,,,1.0.4
cc056110-54b7-475d-91ac-9f1ad54f2c6f,Muhammad Ishaq,https://play-lh.googleusercontent.com/a-/ALV-UjVsyMH87qAvOkPpe0ti1syApKvgb8MqPiV0FYczLEbtkANXljcf,Sangat bermanfaat utk mencerdaskan anak bangsa,5,1,1.0.4,2023-01-04 08:19:40,,,1.0.4
e998567c-65c9-49e0-94ef-c2f4918e4dd7,Intan Permatasari Y,https://play-lh.googleusercontent.com/a/ACg8ocK4onX865PMhe_1vsDLc6VBEAyKbsWluBYNJLHqmOhVpkkTaw=mo,Cari referensi literatur nasional ada semua disini.Cari bahan rujukan buat skripsi juga up todate,5,0,1.0.4,2023-01-23 19:22:45,,,1.0.4
d3e508a8-6878-468d-9f56-6fcce624e0b9,Pety,https://play-lh.googleusercontent.com/a-/ALV-UjU0eBT-Y7Ed-4tummRQFKV-s9RJ4Nw83cKn3PrBSYIxHhfU19X1,"Setiap login keluar sendiri, mohon untuk dibenahi lagi. Terimakasih 🙏🏻",1,0,,2023-02-25 12:38:54,,,
1244fe38-dc6d-4e41-9c22-65d8eb282ae9,Kevin Pelealu,https://play-lh.googleusercontent.com/a-/ALV-UjXNLBA-n1qSa3AdlbdZjszpGLuZwBQfL3Rv6c2pjmi6JiEYZhUg,"Email verifikasi tidak dikirim, Perpustakaan Nasional not digital book",1,0,1.0.6,2023-04-01 15:31:47,,,1.0.6
6fe39c3e-e9f4-4abf-afc0-3a6c20d68afc,dinar wijaksono,https://play-lh.googleusercontent.com/a-/ALV-UjXuIWawOihbU_1eEOJ_ytF-BRd73J3adHH2FKEdjBlXLp_VSj8W,Disini ada buku perguruan tinggi yang lumayan lengkap. Mahasiswa wajib download ini sih,5,0,1.0.4,2023-01-09 17:42:57,,,1.0.4
a71524a0-6653-4056-b012-fda9d882f302,Ummu Adi,https://play-lh.googleusercontent.com/a/ACg8ocKC8F-7a9cZf1B_gWh1NL-vwBYJbJdXgmUh3c_6Zj9tiTtprA=mo,"Susah masuknya , berkali2 dicoba sllu log out",1,0,,2023-06-04 09:25:32,,,
50ede65e-ed71-42ed-89fb-40ca3384906b,Yogie Wahyu Purnama,https://play-lh.googleusercontent.com/a-/ALV-UjVnc0b2Arlq-wwpzzYfVQVHJ5ecnfeR8TAlfNIyUJyiTTeNFIsg,Belun masuk udah eror code kasi 2 bintang dulu nnti klo udah baik baru kasih full,2,1,1.0.4,2023-01-04 07:32:25,,,1.0.4
